zip_code,per_price,city_country,,,,zip_code,,city_country,, per_price ,
909,116181.8182,屏東縣麟洛鄉,,,|,909,|,屏東縣麟洛鄉,|," $116,182 ",|
911,55246.28099,屏東縣竹田鄉,,,|,911,|,屏東縣竹田鄉,|," $55,246 ",|
912,110122.3141,屏東縣內埔鄉,,,|,912,|,屏東縣內埔鄉,|," $110,122 ",|
913,120385.124,屏東縣萬丹鄉,,,|,913,|,屏東縣萬丹鄉,|," $120,385 ",|
920,113814.876,屏東縣潮州鎮,,,|,920,|,屏東縣潮州鎮,|," $113,815 ",|
922,11193.38843,屏東縣來義鄉,,,|,922,|,屏東縣來義鄉,|," $11,193 ",|
923,48811.57025,屏東縣萬巒鄉,,,|,923,|,屏東縣萬巒鄉,|," $48,812 ",|
924,66049.58678,屏東縣崁頂鄉,,,|,924,|,屏東縣崁頂鄉,|," $66,050 ",|
925,47128.92562,屏東縣新埤鄉,,,|,925,|,屏東縣新埤鄉,|," $47,129 ",|
926,121957.0248,屏東縣南州鄉,,,|,926,|,屏東縣南州鄉,|," $121,957 ",|
927,67765.28926,屏東縣林邊鄉,,,|,927,|,屏東縣林邊鄉,|," $67,765 ",|
928,135325.6198,屏東縣東港鎮,,,|,928,|,屏東縣東港鎮,|," $135,326 ",|
929,95857.85126,屏東縣琉球鄉,,,|,929,|,屏東縣琉球鄉,|," $95,858 ",|
931,112575.2066,屏東縣佳冬鄉,,,|,931,|,屏東縣佳冬鄉,|," $112,575 ",|
932,83904.13223,屏東縣新園鄉,,,|,932,|,屏東縣新園鄉,|," $83,904 ",|
940,69208.26446,屏東縣枋寮鄉,,,|,940,|,屏東縣枋寮鄉,|," $69,208 ",|
941,32651.23967,屏東縣枋山鄉,,,|,941,|,屏東縣枋山鄉,|," $32,651 ",|
943,11738.84298,屏東縣獅子鄉,,,|,943,|,屏東縣獅子鄉,|," $11,739 ",|
944,93438.01653,屏東縣車城鄉,,,|,944,|,屏東縣車城鄉,|," $93,438 ",|
945,30981.81818,屏東縣牡丹鄉,,,|,945,|,屏東縣牡丹鄉,|," $30,982 ",|
946,122066.1157,屏東縣恆春鎮,,,|,946,|,屏東縣恆春鎮,|," $122,066 ",|
947,84909.09091,屏東縣滿州鄉,,,|,947,|,屏東縣滿州鄉,|," $84,909 ",|
950,126509.0909,臺東縣臺東市,,,|,950,|,臺東縣臺東市,|," $126,509 ",|
951,84925.61983,臺東縣綠島鄉,,,|,951,|,臺東縣綠島鄉,|," $84,926 ",|
954,70400,臺東縣卑南鄉,,,|,954,|,臺東縣卑南鄉,|," $70,400 ",|
955,120968.5951,臺東縣鹿野鄉,,,|,955,|,臺東縣鹿野鄉,|," $120,969 ",|
956,109424.7934,臺東縣關山鎮,,,|,956,|,臺東縣關山鎮,|," $109,425 ",|
958,126532.2314,臺東縣池上鄉,,,|,958,|,臺東縣池上鄉,|," $126,532 ",|
959,131723.967,臺東縣東河鄉,,,|,959,|,臺東縣東河鄉,|," $131,724 ",|
961,110426.4463,臺東縣成功鎮,,,|,961,|,臺東縣成功鎮,|," $110,426 ",|
962,97097.52066,臺東縣長濱鄉,,,|,962,|,臺東縣長濱鄉,|," $97,098 ",|
963,56932.2314,臺東縣太麻里,,,|,963,|,臺東縣太麻里,|," $56,932 ",|
965,57193.38843,臺東縣大武鄉,,,|,965,|,臺東縣大武鄉,|," $57,193 ",|
970,175381.8182,花蓮縣花蓮市,,,|,970,|,花蓮縣花蓮市,|," $175,382 ",|
971,156370.248,花蓮縣新城鄉,,,|,971,|,花蓮縣新城鄉,|," $156,370 ",|
972,97319.00826,花蓮縣秀林鄉,,,|,972,|,花蓮縣秀林鄉,|," $97,319 ",|
973,168155.3719,花蓮縣吉安鄉,,,|,973,|,花蓮縣吉安鄉,|," $168,155 ",|
974,87801.65289,花蓮縣壽豐鄉,,,|,974,|,花蓮縣壽豐鄉,|," $87,802 ",|
975,109603.3058,花蓮縣鳳林鎮,,,|,975,|,花蓮縣鳳林鎮,|," $109,603 ",|
976,75408.26446,花蓮縣光復鄉,,,|,976,|,花蓮縣光復鄉,|," $75,408 ",|
977,83033.05785,花蓮縣豐濱鄉,,,|,977,|,花蓮縣豐濱鄉,|," $83,033 ",|
978,91277.68595,花蓮縣瑞穗鄉,,,|,978,|,花蓮縣瑞穗鄉,|," $91,278 ",|
981,118968.595,花蓮縣玉里鎮,,,|,981,|,花蓮縣玉里鎮,|," $118,969 ",|
983,78261.15702,花蓮縣富里鄉,,,|,983,|,花蓮縣富里鄉,|," $78,261 ",|
