zip_code,per_price,city_country,,,,zip_code,,city_country,, per_price ,
314,122800,新竹縣北埔鄉,,,|,314,|,新竹縣北埔鄉,|," $122,800 ",|
315,79259.50413,新竹縣峨眉鄉,,,|,315,|,新竹縣峨眉鄉,|," $79,260 ",|
320,196509.0909,桃園市中壢區,,,|,320,|,桃園市中壢區,|," $196,509 ",|
324,160044.6281,桃園市平鎮區,,,|,324,|,桃園市平鎮區,|," $160,045 ",|
325,156671.0744,桃園市龍潭區,,,|,325,|,桃園市龍潭區,|," $156,671 ",|
326,139190.0826,桃園市楊梅區,,,|,326,|,桃園市楊梅區,|," $139,190 ",|
327,142915.7025,桃園市新屋區,,,|,327,|,桃園市新屋區,|," $142,916 ",|
328,162985.1239,桃園市觀音區,,,|,328,|,桃園市觀音區,|," $162,985 ",|
330,225742.1488,桃園市桃園區,,,|,330,|,桃園市桃園區,|," $225,742 ",|
333,214676.0331,桃園市龜山區,,,|,333,|,桃園市龜山區,|," $214,676 ",|
334,184753.719,桃園市八德區,,,|,334,|,桃園市八德區,|," $184,754 ",|
335,162221.4876,桃園市大溪區,,,|,335,|,桃園市大溪區,|," $162,221 ",|
336,46581.81818,桃園市復興區,,,|,336,|,桃園市復興區,|," $46,582 ",|
337,203310.7438,桃園市大園區,,,|,337,|,桃園市大園區,|," $203,311 ",|
338,207153.719,桃園市蘆竹區,,,|,338,|,桃園市蘆竹區,|," $207,154 ",|
350,160343.8017,苗栗縣竹南鎮,,,|,350,|,苗栗縣竹南鎮,|," $160,344 ",|
351,137173.5537,苗栗縣頭份市,,,|,351,|,苗栗縣頭份市,|," $137,174 ",|
352,70371.90083,苗栗縣三灣鄉,,,|,352,|,苗栗縣三灣鄉,|," $70,372 ",|
353,135148.7603,苗栗縣南庄鄉,,,|,353,|,苗栗縣南庄鄉,|," $135,149 ",|
354,164813.2231,苗栗縣獅潭鄉,,,|,354,|,苗栗縣獅潭鄉,|," $164,813 ",|
356,152733.8843,苗栗縣後龍鎮,,,|,356,|,苗栗縣後龍鎮,|," $152,734 ",|
357,81388.42975,苗栗縣通霄鎮,,,|,357,|,苗栗縣通霄鎮,|," $81,388 ",|
358,135788.4298,苗栗縣苑裡鎮,,,|,358,|,苗栗縣苑裡鎮,|," $135,788 ",|
360,135424.7934,苗栗縣苗栗市,,,|,360,|,苗栗縣苗栗市,|," $135,425 ",|
361,49788.42975,苗栗縣造橋鄉,,,|,361,|,苗栗縣造橋鄉,|," $49,788 ",|
362,59996.69421,苗栗縣頭屋鄉,,,|,362,|,苗栗縣頭屋鄉,|," $59,997 ",|
363,147041.3223,苗栗縣公館鄉,,,|,363,|,苗栗縣公館鄉,|," $147,041 ",|
364,123312.3967,苗栗縣大湖鄉,,,|,364,|,苗栗縣大湖鄉,|," $123,312 ",|
